candidate_id,tier,space,axis_pc,blind_axis_score
C0137,A,centered,2,-0.005285864519151366
C0138,A,centered,2,-0.0777342749571614
C0139,A,centered,2,-0.07055032818218974
C0140,A,centered,2,0.062116973084650695
C0141,A,centered,2,-0.04048002133981962
C0142,A,centered,2,0.10674275373707676
C0143,A,centered,2,-0.023244178449116797
C0144,A,centered,2,0.05439036429203858
C0145,A,centered,2,-0.033826726458527474
C0146,A,centered,2,0.03631288449469108
C0147,A,centered,2,0.025173963343748055
C0148,A,centered,2,0.024993200189941542
C0149,A,centered,2,-0.018731431984354206
C0150,A,centered,2,-0.05202539887409172
C0151,A,centered,2,0.02141877341351229
C0152,A,centered,2,-0.019432591832106497
C0153,A,centered,2,0.00025043083010444915
C0154,A,centered,2,-0.054725001521200196
C0155,A,centered,2,0.0006591864290136684
C0156,A,centered,2,-0.06953658453492667
C0157,A,centered,2,0.05115631570415462
C0158,A,centered,2,-0.0551530098630631
C0159,A,centered,2,0.05552944926611513
C0160,A,centered,2,-0.08670667212715745
C0161,A,centered,2,0.09093779870899224
C0162,A,centered,2,-0.06343466143200992
C0163,A,centered,2,0.08828166832134413
C0164,A,centered,2,-0.08201296417831937
C0165,A,centered,2,0.00862927444687671
C0166,A,centered,2,-0.06312381550445599
C0167,A,centered,2,0.09003515003041725
C0168,A,centered,2,-0.06835253325772629
C0169,A,centered,2,0.07909698307609236
C0170,A,centered,2,-0.03711190713610244
C0171,A,centered,2,0.07114535715742042
C0172,A,centered,2,-0.05842151073192213
C0173,A,centered,2,0.04367682626129077
C0174,A,centered,2,-0.10810981870745934
C0175,A,centered,2,0.002876129738720718
C0176,A,centered,2,-0.05178133056666585
C0177,A,centered,2,0.07048563457447549
C0178,A,centered,2,0.0720600523551171
C0179,A,centered,2,-0.056733108668796044
C0180,A,centered,2,0.09990729710179423
C0181,A,centered,2,-0.04010021172014082
C0182,A,centered,2,0.02063769870066509
C0183,A,centered,2,-0.04348106853615872
C0184,A,centered,2,-0.09795431421015431
C0185,A,centered,2,0.05186609167796003
C0186,A,centered,2,-0.07436711688555155
C0187,A,centered,2,0.07417137719216679
C0188,A,centered,2,-0.09060450552375311
C0189,A,centered,2,0.053039876841680766
C0190,A,centered,2,-0.05844855031219395
C0191,A,centered,2,0.0840291652097632
C0192,A,centered,2,-0.07995524826784556
C0193,A,centered,2,0.05014092016266693
C0194,A,centered,2,0.0015662353908570661
C0195,A,centered,2,0.07960828448184241
C0196,A,centered,2,-0.09773948361412985
C0197,A,centered,2,0.08296743087355492
C0198,A,centered,2,-0.02389597520004523
C0199,A,centered,2,0.028201459495951202
C0200,A,centered,2,-0.034929333150873924
C0201,A,centered,2,0.05276920161055419
C0202,A,centered,2,-0.03248896280972289
C0203,A,centered,2,0.11933519761882408
C0204,A,centered,2,-0.056465764346050024
C0205,A,centered,2,0.07138690711784358
C0206,A,centered,2,0.04717966061918492
C0207,A,centered,2,-0.016849448937970912
C0208,A,centered,2,0.0628469995677087
C0209,A,centered,2,-0.07978295063089896
C0210,A,centered,2,0.07118159389787175
C0211,A,centered,2,-0.034604162372005996
C0212,A,centered,2,0.08846116900676831
C0213,A,centered,2,-0.05391594469945221
C0214,A,centered,2,0.057078003934958585
C0215,A,centered,2,-0.07514380052416059
C0216,A,centered,2,0.059839238829679425
C0217,A,centered,2,-0.02566153130066768
C0218,A,centered,2,0.02221867607586003
C0219,A,centered,2,-0.029018616796657633
C0220,A,centered,2,0.09311752780919756
C0221,A,centered,2,-0.03933057823658532
C0222,A,centered,2,0.021433718466671053
C0223,A,centered,2,-0.058273037000361586
C0224,A,centered,2,0.1255455863851583
C0225,A,centered,2,-0.07820335137276267
C0226,A,centered,2,0.09446413620855104
C0227,A,centered,2,-0.05880676761909821
C0228,A,centered,2,0.028591701351383517
C0229,A,centered,2,-0.012401916155491563
C0230,A,centered,2,0.09538781879747227
C0231,A,centered,2,-0.027391966961337944
C0232,A,centered,2,0.05327432124231082
C0233,A,centered,2,-0.0752133860416233
C0234,A,centered,2,0.017316569535458223
C0235,A,centered,2,-0.10554278933315062
C0236,A,centered,2,0.08447313873767101
C0237,A,centered,2,-0.06659538100486938
C0238,A,centered,2,0.08777641800355425
C0239,A,centered,2,-0.06275613083397041
C0240,A,centered,2,0.09968225179618637
C0241,A,centered,2,0.11898546722854517
C0242,A,centered,2,-0.031395746544544696
C0243,A,centered,2,0.057765914027944364
C0244,A,centered,2,-0.03760936290324143
C0245,A,centered,2,0.03814346902616824
C0246,A,centered,2,-0.020830175992736955
C0247,A,centered,2,0.09082316341753538
C0248,A,centered,2,-0.03515944824334446
C0249,A,centered,2,0.02516819648238022
C0250,A,centered,2,-0.1096848150676315
C0251,A,centered,2,0.05591456821643537
C0252,A,centered,2,-0.04418575689720121
C0253,A,centered,2,0.11895133636926594
C0254,A,centered,2,-0.010931289119788423
C0255,A,centered,2,0.09515923549444871
C0256,A,centered,2,-0.0907184613867211
C0257,A,centered,2,0.09949490272845846
C0258,A,centered,2,0.09795748550506418
C0259,A,centered,2,-0.044914437931375874
C0260,A,centered,2,0.08917973392485903
C0261,A,centered,2,-0.06865174926204168
C0262,A,centered,2,0.08813789036031547
C0263,A,centered,2,-0.0488020148792883
C0264,A,centered,2,0.06466713674485233
C0265,A,centered,2,-0.09528950692859615
C0266,A,centered,2,0.0572544828374599
C0267,A,centered,2,-0.06698466000487996
C0268,A,centered,2,0.07055158958310535
C0269,A,centered,2,0.014797486214738408
C0270,A,centered,2,-0.09253012987325725
C0271,A,centered,2,0.07638250939992909
C0272,A,centered,2,-0.06347877692008787
C0273,A,centered,2,0.06332979208891586
C0274,A,centered,2,-0.05334101109598206
C0275,A,centered,2,0.05163087082014928
C0276,A,centered,2,-0.08119102042168584
C0277,A,centered,2,0.017325913379207473
C0278,A,centered,2,0.043958786089369095
C0279,A,centered,2,-0.04333810045888157
C0280,A,centered,2,0.070431015138988
C0281,A,centered,2,-0.08704588027205087
C0282,A,centered,2,0.10513809894006172
C0283,A,centered,2,-0.07405451886259003
C0284,A,centered,2,0.07066746063757513
C0285,A,centered,2,-0.07332077934801941
C0286,A,centered,2,0.04562522240494059
C0287,A,centered,2,-0.06929069546763633
C0288,A,centered,2,0.01638468477656694
C0289,A,centered,2,0.09657127494161856
C0290,A,centered,2,-0.0963521644972833
C0291,A,centered,2,-0.03064117715055904
C0292,A,centered,2,-0.05023520606057073
C0293,A,centered,2,0.03971184542048498
C0294,A,centered,2,-0.08535165923970066
C0295,A,centered,2,0.0251369352846757
C0296,A,centered,2,-0.04592449020091731
C0297,A,centered,2,0.09495219812302715
C0298,A,centered,2,-0.037765877565176964
C0299,A,centered,2,0.017632582884896667
C0300,A,centered,2,-0.07171175714184111
C0301,A,centered,2,0.06234161332474261
C0302,A,centered,2,-0.06666619267913039
C0303,A,centered,2,0.0623973121150842
C0304,A,centered,2,-0.03176265310055127
C0305,A,centered,2,0.08123323307021359
C0306,A,centered,2,-0.06386291177514929
C0307,A,centered,2,0.08364212085638532
C0308,A,centered,2,-0.06649980876033937
C0309,A,centered,2,0.08938865489110422
C0310,A,centered,2,-0.0966326053088029
C0311,A,centered,2,0.04584664226624715
C0312,A,centered,2,-0.1152066325529906
C0313,A,centered,2,-0.02802403261791177
C0314,A,centered,2,0.04647137666497803
C0315,A,centered,2,-0.017335529456832772
C0316,A,centered,2,0.06491241139255148
C0317,A,centered,2,-0.04409009903536011
C0318,A,centered,2,1.3313269230911446e-05
C0319,A,centered,2,-0.09702510653214946
C0320,A,centered,2,0.028221169318276892
C0321,A,centered,2,-0.11004769955241586
C0322,A,centered,2,0.07058980232599607
C0323,A,centered,2,-0.06924063723546649
C0324,A,centered,2,0.0787819811649047
C0325,A,centered,2,-0.11613788708465456
C0326,A,centered,2,0.007673013558939702
C0327,A,centered,2,0.06305433135976857
C0328,A,centered,2,-0.08325759646886322
C0329,A,centered,2,0.08573314397483778
C0330,A,centered,2,-0.04345620508472227
C0331,A,centered,2,0.0549328229303538
C0332,A,centered,2,0.05738207392799062
C0333,A,centered,2,-0.07213731665999949
C0334,A,centered,2,0.018144517148583682
C0335,A,centered,2,-0.06440447947286682
C0336,A,centered,2,0.01347212518874864
C0337,A,centered,2,-0.032207285023283155
C0338,A,centered,2,0.0836935479464196
C0339,A,centered,2,-0.03850233650882124
C0340,A,centered,2,0.0522999080799859
C0341,A,centered,2,-0.015665596450746715
C0342,A,centered,2,0.07386969864380201
C0343,A,centered,2,-0.06077172204428752
C0344,A,centered,2,0.06996105789305682
C0345,A,centered,2,-0.056104513137478815
C0346,A,centered,2,0.021832448677786758
C0347,A,centered,2,0.01622139930445077
C0348,A,centered,2,0.014807393767705264
C0349,A,centered,2,-0.09494547155869539
C0350,A,centered,2,0.06150949654782545
C0351,A,centered,2,-0.05096987999853967
C0352,A,centered,2,0.04678929710478055
C0353,A,centered,2,0.008537251040269657
C0354,A,centered,2,-0.06094304612606517
C0355,A,centered,2,-0.09657060689465319
C0356,A,centered,2,0.07014626474974776
C0357,A,centered,2,-0.029557093379311932
C0358,A,centered,2,0.003179490598713586
C0359,A,centered,2,-0.03793433097487765
C0360,A,centered,2,0.14616518355246338
C0361,A,centered,2,-0.04815588299431007
C0362,A,centered,2,0.037621312859598306
C0363,A,centered,2,-0.04361191009355699
C0364,A,centered,2,0.012792513143617111
C0365,A,centered,2,0.00589439560941416
C0366,A,centered,2,0.08838390145161881
C0367,A,centered,2,-0.014340345216376274
C0368,A,centered,2,0.03789876433557619
C0369,A,centered,2,-0.027239050325706997
C0370,A,centered,2,0.046969055588195203
C0371,A,centered,2,0.03036070794476479
C0372,A,centered,2,-0.05006035077950043
C0373,A,centered,2,-0.021467189210260727
C0374,A,centered,2,-0.05158380054821672
C0375,A,centered,2,0.11337757744538035
C0376,A,centered,2,-0.07296993814376426
C0377,A,centered,2,0.05277550181877901
C0378,A,centered,2,0.043019139835930774
C0379,A,centered,2,-0.06387936581812409
C0380,A,centered,2,0.08156807113636078
C0381,A,centered,2,-0.06949327511752795
C0382,A,centered,2,0.0743974102657772
C0383,A,centered,2,-0.04986111314257748
C0384,A,centered,2,0.04637932659412677
C0385,A,centered,2,-0.06513577033080184
C0386,A,centered,2,0.036981424543832485
C0387,A,centered,2,0.04087658221157198
C0388,A,centered,2,0.03397232057666331
C0389,A,centered,2,-0.09297848683801996
C0390,A,centered,2,0.04986686521028047
C0391,A,centered,2,-0.04784615961820118
C0392,A,centered,2,0.0289546883921536
C0393,A,centered,2,0.006253783150762514
C0394,A,centered,2,0.09948401077934539
C0395,A,centered,2,0.021769001366108123
C0396,A,centered,2,0.08262736760655146
C0397,A,centered,2,-0.03623415950227749
C0398,A,centered,2,0.08561519825869034
C0399,A,centered,2,-0.0630316786063569
C0400,A,centered,2,0.0953308044651607
C0401,A,centered,2,0.015558601968263287
C0402,A,centered,2,-0.027058091600290792
C0403,A,centered,2,0.07938991024701085
C0404,A,centered,2,0.030208555342958063
C0405,A,centered,2,0.06145165978029381
C0406,A,centered,2,-0.08903929016005017
C0407,A,centered,2,0.07341798817923736
C0408,A,centered,2,-0.00671718043136601
C0409,A,centered,2,0.07010360641212839
C0410,A,centered,2,-0.031094938380604707
C0411,A,centered,2,0.03237751953746811
C0412,A,centered,2,-0.004596081805525304
C0413,A,centered,2,0.050021864453368745
C0414,A,centered,2,-0.0378448058470028
C0415,A,centered,2,0.08445130609384215
C0416,A,centered,2,-0.03546382809918291
C0417,A,centered,2,0.0881925664709501
C0418,A,centered,2,-0.035884060791773933
C0419,A,centered,2,0.0455926185489808
C0420,A,centered,2,-0.026361546469083542
C0421,A,centered,2,0.026556807942168522
C0422,A,centered,2,-0.05926144801731711
C0423,A,centered,2,0.02429002740878515
C0424,A,centered,2,-0.008696849754276502
C0425,A,centered,2,0.08982223427257165
C0426,A,centered,2,-0.07924848398542264
C0427,A,centered,2,0.031685251510397285
C0428,A,centered,2,-0.09287975315329937
C0429,A,centered,2,0.08612151773634762
C0430,A,centered,2,0.05997521608781693
C0431,A,centered,2,-0.06601927293868676
C0432,A,centered,2,0.06205514796303633
C0433,A,centered,2,-0.05186775950107924
C0434,A,centered,2,0.09714352487449
C0435,A,centered,2,-0.06162961962203834
C0436,A,centered,2,0.08272771957317862
C0437,A,centered,2,-0.03484080729683322
C0438,A,centered,2,0.06260697591755517
C0439,A,centered,2,-0.05197950342409553
C0440,A,centered,2,0.063328952622103
C0441,A,centered,2,-0.06756865847560166
C0442,A,centered,2,0.038854818689540424
C0443,A,centered,2,-0.03785897109964589
C0444,A,centered,2,0.04401956046959499
C0445,A,centered,2,0.011631272177349685
C0446,A,centered,2,-0.044519514329578014
C0447,A,centered,2,0.037222623132573275
C0448,A,centered,2,5.359759912529585e-06
C0449,A,centered,2,0.09335651265757967
C0450,A,centered,2,-0.055948391474305484
C0451,A,centered,2,0.09017536110302922
C0452,A,centered,2,-0.06679799074531909
C0453,A,centered,2,0.10547564637549696
C0454,A,centered,2,-0.03890137941619697
C0455,A,centered,2,0.09082074086645855
C0456,A,centered,2,-0.002034264683184167
C0457,A,centered,2,0.013827269632320616
C0458,A,centered,2,-0.06409156608443226
C0459,A,centered,2,0.05221952045917559
C0460,A,centered,2,-0.04520738896632137
C0461,A,centered,2,-0.09234010950709273
C0462,A,centered,2,0.10156723576256194
